Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Brandon Sproat ","MIL","SP",528.2000122070312,96,-3.11662466004143,-1.41030681533995,-2.2946694423096705,-3.1711216618478293,-4.12439163050955,-14.117114210048427,8.95993436825506,-4.157179841793368,"Brandon Sproat","33850",687075
"Yimi García ","TOR","RP",999,56,-5.16279768663863,-0.298532098704842,0.5135483076232018,-0.013197982303370406,-5.69785895766502,-10.65883841768866,5.491447694743614,-4.167390722945045,"Yimi Garcia","12095",554340
"Riley O'Brien ","STL","RP",264.0400085449219,63,-5.16279768663863,2.20296101372415,-0.04592632653641751,-2.2512063085108367,-5.4117739890913,-10.668743297053028,5.491447694743614,-4.177295602309415,"Riley O'Brien","20348",676617
"Justin Verlander ","DET","SP",658.8499755859375,141,-0.0473651201456261,-1.41030681533995,-6.928039182613751,-4.001262314563744,-1.76419063977635,-14.151164072439423,8.95993436825506,-4.191229704184361,"Justin Verlander","8700",434378
"Max Scherzer ","TOR","SP",546.9299926757812,113,-3.11662466004143,-1.41030681533995,-5.597294351593488,-1.2721398366404106,-2.76548802978438,-14.161853693399655,8.95993436825506,-4.201919325144592,"Max Scherzer","3137",453286
"Jared Koenig ","MIL","RP",748.489990234375,65,-5.16279768663863,-1.13236313618117,0.7661741768660639,-0.07551093239811107,-5.26873150480444,-10.873229083156287,5.491447694743614,-4.381781388412674,"Jared Koenig","27517",657649
"Fernando Cruz ","NYY","RP",999,61,-5.16279768663863,-1.13236313618117,0.5027037284884228,-0.5375824178069797,-4.55351908337013,-10.883558595508495,5.491447694743614,-4.392110900764879,"Fernando Cruz","7048",518585
"Ben Joyce ","LAA","RP",738.6500244140625,48,-6.18588419993723,2.75884837204171,-0.013392589132081892,-0.9373409531211111,-6.55611386338618,-10.933883233534901,5.491447694743614,-4.442435538791286,"Ben Joyce","31461",690829
"Tyler Mahle ","SFG","SP",322.7200012207031,137,-1.07045163344423,-1.41030681533995,-5.377202219754963,-4.204045848851507,-2.40788181906722,-14.469888336457872,8.95993436825506,-4.509953968202811,"Tyler Mahle","16358",641816
"Connelly Early ","BOS","SP",266.4800109863281,73,-4.13971117334003,-1.41030681533995,-1.428346043233297,-2.5221113261547425,-4.98264653623072,-14.483121894298733,8.95993436825506,-4.523187526043674,"Connelly Early","33666",813349
"A.J. Puk ","ARI","RP",748.5,42,-6.18588419993723,0.535298938771489,0.7253438703242245,0.5734994032949794,-6.69915634767304,-11.05089833521958,5.491447694743614,-4.559450640475967,"A.J. Puk","19343",640462
"Camilo Doval ","NYY","RP",663.6500244140625,64,-5.16279768663863,-0.854419457022396,1.0404892043784841,-1.163358620454474,-4.91112529408728,-11.0512118538243,5.491447694743614,-4.559764159080688,"Camilo Doval","21992",666808
"Jacob Latz ","TEX","SP",730.9299926757812,96,-3.11662466004143,-1.41030681533995,-2.748246295118778,-3.948985515211146,-3.40917920907525,-14.633342494786552,8.95993436825506,-4.67340812653149,"Jacob Latz","21306",656641
"Orion Kerkering ","PHI","RP",999,54,-5.16279768663863,-1.41030681533995,1.0621783626480406,0.14469820167385364,-5.84090144195188,-11.207129379608565,5.491447694743614,-4.715681684864951,"Orion Kerkering","31776",689147
"Andrew Nardi ","MIA","RP",999,60,-5.16279768663863,-1.41030681533995,0.3234419031917356,-0.06970239913671296,-4.98264653623072,-11.302011534154273,5.491447694743614,-4.81056383941066,"Andrew Nardi","25942",677053
"Shane Smith ","CHW","SP",245.5399932861328,161,-1.07045163344423,-1.41030681533995,-6.971417499152864,-5.580224154335969,0.166882898096267,-14.865517204176745,8.95993436825506,-4.9055828359216855,"Shane Smith","31687",681343
"Tyler Rogers ","TOR","RP",743.280029296875,74,-4.13971117334003,-0.854419457022396,-0.34193051231839566,0.12146406862825376,-6.19850765266903,-11.413104726721597,5.491447694743614,-4.9216570319779835,"Tyler Rogers","15541",643511
"Drew Pomeranz ","LAA","RP",735.6199951171875,56,-5.16279768663863,-0.576475777863619,0.05997145481409454,-0.013197982303370406,-5.76938019980845,-11.461880191799974,5.491447694743614,-4.970432497056359,"Drew Pomeranz","11426",519141
"Hunter Harvey ","CHC","RP",748.530029296875,52,-6.18588419993723,-0.298532098704842,0.7036547120546665,0.5618823367721814,-6.27002889481246,-11.488908144627686,5.491447694743614,-4.997460449884072,"Hunter Harvey","15507",640451
"Aaron Ashby ","MIL","RP",999,77,-4.13971117334003,-1.13236313618117,1.10300866918988,-3.097191645230292,-4.26743411479641,-11.533691400358027,5.491447694743614,-5.042243705614412,"Aaron Ashby","23550",676879
"Mick Abel ","MIN","SP",298.7799987792969,129,-1.07045163344423,-1.41030681533995,-4.543412558082925,-6.943204477516982,-1.04897821834205,-15.016353702726136,8.95993436825506,-5.056419334471074,"Mick Abel","27756",690953
"Johan Oviedo ","BOS","SP",536.780029296875,97,-3.11662466004143,-1.41030681533995,-3.4761381754403056,-3.6390016805180996,-3.40917920907525,-15.051250540415033,8.95993436825506,-5.0913161721599725,"Johan Oviedo","22487",670912
"JoJo Romero ","STL","RP",479.0799865722656,64,-5.16279768663863,1.92501733456538,-0.7738182068579448,-1.6819345226966849,-5.91242268409531,-11.605955765723193,5.491447694743614,-5.114508070979581,"JoJo Romero","19574",668941
"Carlos Estévez ","KCR","RP",120.08999633789062,62,-6.18588419993723,6.37211620110581,-3.4002261214968557,-2.042614240961672,-6.48459262124275,-11.741200982532702,5.491447694743614,-5.249753287789086,"Carlos Estevez","14542",608032
"Andrew Kittredge ","BAL","RP",745.8499755859375,60,-5.16279768663863,-0.576475777863619,-0.13013494961737154,-0.06970239913671296,-5.84090144195188,-11.780012255208211,5.491447694743614,-5.288564560464598,"Andrew Kittredge","12828",552640
"Robby Snelling ","MIA","SP",999,94,-4.13971117334003,-1.41030681533995,-2.6531930929030447,-3.0132254778706087,-4.05287038836612,-15.269306947819754,8.95993436825506,-5.309372579564693,"Robby Snelling","31893",702281
"Angel Zerpa ","MIL","RP",999,60,-5.16279768663863,-1.41030681533995,0.7770187560008428,-0.06970239913671296,-5.98394392623874,-11.849732071353193,5.491447694743614,-5.358284376609578,"Angel Zerpa","22717",672582
"Steven Okert ","HOU","RP",999,64,-5.16279768663863,-1.41030681533995,-0.3202413540488376,0.13308113515105371,-5.12568902051758,-11.88595374139394,5.491447694743614,-5.394506046650326,"Steven Okert","13580",595345
"Jason Adam ","SDP","RP",999,61,-5.16279768663863,-1.13236313618117,0.04912687567931553,-0.01900651556476853,-5.62633771552159,-11.891378178226846,5.491447694743614,-5.399930483483231,"Jason Adam","11861",592094
"Ryan Weiss ","HOU","SP",725.9600219726562,89,-4.13971117334003,-1.41030681533995,-3.095925366577373,-2.7481289934881015,-4.05287038836612,-15.446942737111574,8.95993436825506,-5.4870083688565146,"Ryan Weiss","24621",680802
"Paul Sewald ","ARI","RP",389.9100036621094,62,-6.18588419993723,2.75884837204171,-2.0394955630695333,-0.7461744853561443,-5.91242268409531,-12.125128560416512,5.491447694743614,-5.6336808656729,"Paul Sewald","13892",623149
"Shawn Armstrong ","CLE","RP",748.469970703125,68,-5.16279768663863,-0.576475777863619,-0.5103477584803037,-0.44199918392449616,-5.48329523123473,-12.174915638141776,5.491447694743614,-5.6834679433981625,"Shawn Armstrong","12857",542888
"Bryan King ","HOU","RP",748.469970703125,67,-5.16279768663863,-1.13236313618117,-0.23603273096788363,-0.23340711637533512,-5.48329523123473,-12.247895901397749,5.491447694743614,-5.756448206654135,"Bryan King","25890",687911
"J.T. Ginn ","ATH","SP",748.3499755859375,83,-4.13971117334003,-1.41030681533995,-2.3571889071210665,-3.05230429491975,-4.76808280980042,-15.72759400052122,8.95993436825506,-5.7676596322661595,"J.T. Ginn","27889",669372
"Gregory Soto ","PIT","RP",728.4099731445312,64,-5.16279768663863,-0.854419457022396,0.5869123515693767,-1.6819345226966849,-5.26873150480444,-12.38097081959277,5.491447694743614,-5.8895231248491555,"Gregory Soto","19677",642397
"Bryce Elder ","ATL","SP",740.5499877929688,118,-1.07045163344423,-1.41030681533995,-5.15456207791916,-4.907979685597286,-3.33765796693182,-15.880958179232438,8.95993436825506,-5.9210238109773785,"Bryce Elder","27779",693821
"Cole Sands ","MIN","RP",735.4400024414062,68,-5.16279768663863,-0.298532098704842,-0.9639246112894109,-0.44199918392449616,-5.55481647337816,-12.422070053935535,5.491447694743614,-5.930622359191922,"Cole Sands","21461",663485
"Cade Cavalli ","WSN","SP",305.2200012207031,137,-2.09353814674283,-1.41030681533995,-4.4700485141367485,-6.019061506699245,-1.90723312406321,-15.900188106981988,8.95993436825506,-5.940253738726926,"Cade Cavalli","27473",676917
"Jordan Leasure ","CHW","RP",717.510009765625,64,-5.16279768663863,-0.0205884195460648,-0.7738182068579448,-1.4226465715755794,-5.05416777837414,-12.434018662992365,5.491447694743614,-5.94257096824875,"Jordan Leasure","29950",673929
"Luke Weaver ","NYM","RP",733.510009765625,67,-5.16279768663863,-0.298532098704842,-1.143186436586098,-0.49269506749644054,-5.34025274694787,-12.437464036373877,5.491447694743614,-5.946016341630263,"Luke Weaver","16918",596133
"Brooks Raley ","NYM","RP",999,62,-5.16279768663863,-1.13236313618117,-0.2251881518331046,-0.22759858311393333,-5.69785895766502,-12.44580651543186,5.491447694743614,-5.954358820688245,"Brooks Raley","10061",548384
"Dean Kremer ","BAL","SP",999,115,-2.09353814674283,-1.41030681533995,-5.692347553809221,-3.5043396295864717,-3.26613672478839,-15.966668870266862,8.95993436825506,-6.006734502011801,"Dean Kremer","19350",665152
"Matt Strahm ","KCR","RP",720.1400146484375,66,-5.16279768663863,-0.854419457022396,-1.322448261882785,0.2344729022949352,-5.48329523123473,-12.588487734483603,5.491447694743614,-6.09704003973999,"Matt Strahm","13799",621381
"Jordan Romano ","COL","RP",688.9600219726562,60,-6.18588419993723,1.36912997624782,-1.0372886552355858,-1.106854203621135,-5.69785895766502,-12.658756040211149,5.491447694743614,-6.167308345467534,"Jordan Romano","16122",605447
"Hunter Barco ","PIT","SP",999,87,-4.13971117334003,-1.41030681533995,-2.0937184587434254,-4.145960516237515,-4.33895535693984,-16.128652320600764,8.95993436825506,-6.168717952345702,"Hunter Barco","33174",682995
"A.J. Minter ","NYM","RP",999,52,-6.18588419993723,-0.854419457022396,0.2500778592455592,0.3025943856510758,-6.19850765266903,-12.686139064732023,5.491447694743614,-6.194691369988409,"A.J. Minter","18655",621345
"Blake Treinen ","LAD","RP",999,54,-5.16279768663863,-1.41030681533995,0.15502465702982615,-0.6331656516894629,-5.69785895766502,-12.749104454303236,5.491447694743614,-6.257656759559623,"Blake Treinen","12572",595014
"David Festa ","MIN","SP",999,58,-6.18588419993723,-1.41030681533995,-1.39581230582896,-1.2082459707650166,-6.05546516838217,-16.25571446025333,8.95993436825506,-6.295780091998268,"David Festa","30056",701581
"Luis Severino ","ATH","SP",642.52001953125,172,-0.0473651201456261,-1.41030681533995,-8.174575390553054,-6.57829714177125,-0.119202070477455,-16.32974653828734,8.95993436825506,-6.369812170032277,"Luis Severino","15890",622663
"Corbin Burnes ","ARI","SP",738.0999755859375,42,-6.18588419993723,-1.41030681533995,-0.6353866881030971,-0.7229403523105482,-7.41436876910734,-16.36888682479817,8.95993436825506,-6.408952456543112,"Corbin Burnes","19361",669203
"Matt Svanson ","STL","RP",528.7999877929688,65,-5.16279768663863,0.813242617930267,-0.5945563815612577,-2.1498145413669554,-5.84090144195188,-12.934827433588454,5.491447694743614,-6.443379738844841,"Matt Svanson","29629",694335
"Luis Morales ","ATH","SP",735.3200073242188,121,-2.09353814674283,-1.41030681533995,-5.523930307647314,-5.274467937123672,-2.1217968504935,-16.424040057347266,8.95993436825506,-6.464105689092206,"Luis Morales","32227",806960
"Victor Vodnik ","COL","RP",496.760009765625,64,-5.16279768663863,4.98239780531192,-2.5881256180943737,-4.534101985028846,-5.76938019980845,-13.072007684258375,5.491447694743614,-6.580559989514761,"Victor Vodnik","24614",680767
"Tanner Banks ","PHI","RP",999,63,-5.16279768663863,-1.13236313618117,-0.9530800321546319,0.08238525157911296,-5.91242268409531,-13.078278287490631,5.491447694743614,-6.586830592747018,"Tanner Banks","16990",621383
"Tobias Myers ","NYM","SP/RP",999,76,-5.16279768663863,-1.41030681533995,-2.7048679785796645,-1.5921598220755997,-5.69785895766502,-16.567991260298864,8.95993436825506,-6.608056892043802,"Tobias Myers","22191",668964
"Erik Miller ","SFG","RP",999,62,-5.16279768663863,-1.13236313618117,0.6819655537851098,-2.3019021920827774,-5.197210262661,-13.112307723778477,5.491447694743614,-6.620860029034862,"Erik Miller","26252",669062
"Luis Gil ","NYY","SP",376.5,91,-4.13971117334003,-1.41030681533995,-3.6445554216022136,-3.424601079707536,-3.98134914622269,-16.60052363621242,8.95993436825506,-6.64058926795736,"Luis Gil","21052",661563
"Justin Sterner ","ATH","RP",547.0499877929688,65,-5.16279768663863,0.813242617930267,-1.955286939988579,-1.3719506880036387,-5.55481647337816,-13.231609170078737,5.491447694743614,-6.740161475335123,"Justin Sterner","27694",686993
"Adrian Houser ","SFG","SP",743.219970703125,147,-0.0473651201456261,-1.41030681533995,-5.852468230833625,-7.067830377706463,-2.33636057692379,-16.714331120949456,8.95993436825506,-6.754396752694397,"Adrian Houser","12718",605288
"Spencer Arrighetti ","HOU","SP",728.3099975585938,84,-4.13971117334003,-1.41030681533995,-3.538657640251701,-3.2608963624689142,-4.41047659908327,-16.76004859048387,8.95993436825506,-6.800114222228806,"Spencer Arrighetti","29921",681293
"Kai-Wei Teng ","HOU","SP",999,59,-6.18588419993723,-1.41030681533995,-1.2165504805322729,-2.1947018916774983,-5.76938019980845,-16.776823587295404,8.95993436825506,-6.816889219040342,"Kai-Wei Teng","24282",678906
"David Morgan ","SDP","RP",999,58,-5.16279768663863,-1.41030681533995,-0.035081747401638504,-0.948958019643911,-5.76938019980845,-13.326524468832579,5.491447694743614,-6.835076774088966,"David Morgan","31616",688158
"Drew Anderson ","DET","SP",999,84,-4.13971117334003,-1.41030681533995,-3.085080787442594,-3.2608963624689142,-4.91112529408728,-16.807120432678772,8.95993436825506,-6.847186064423713,"Drew Anderson","15130",623454
"Kyle Finnegan ","DET","RP",639.030029296875,64,-5.16279768663863,-0.298532098704842,-0.7738182068579448,-1.4226465715755794,-5.69785895766502,-13.355653521442013,5.491447694743614,-6.864205826698401,"Kyle Finnegan","15009",640448
"Griffin Canning ","SDP","SP",999,107,-3.11662466004143,-1.41030681533995,-4.404981039328077,-4.169194649283111,-3.7667854197924,-16.867892583784965,8.95993436825506,-6.907958215529904,"Griffin Canning","19867",656288
"Jake Bird ","NYY","RP",999,57,-5.16279768663863,-1.41030681533995,0.23923328011078163,-1.2589418543369575,-5.84090144195188,-13.433714518156634,5.491447694743614,-6.94226682341302,"Jake Bird","21267",656234
"Michael McGreevy ","STL","SP",715.3800048828125,133,-2.09353814674283,-1.41030681533995,-6.094249520941712,-3.6289655297759533,-3.69526417764897,-16.922324190449412,8.95993436825506,-6.962389822194352,"Michael McGreevy","29869",700241
"Simeon Woods Richardson ","TOR","SP",664.0399780273438,145,-1.07045163344423,-1.41030681533995,-7.571722439854321,-5.613494438123713,-1.26354194477234,-16.92951727153455,8.95993436825506,-6.969582903279491,"Simeon Woods Richardson","24494",680573
"Tommy Nance ","TOR","RP",999,58,-5.16279768663863,-1.41030681533995,-0.035081747401638504,-0.6896700685228055,-6.19850765266903,-13.496363970572057,5.491447694743614,-7.0049162758284425,"Tommy Nance","19178",667297
"River Ryan ","LAD","SP",675.5399780273438,57,-5.16279768663863,-1.41030681533995,-1.575074131125647,-2.555381609942485,-6.34155013695589,-17.0451103800026,8.95993436825506,-7.085176011747542,"River Ryan","29514",689981
"Tyler Holton ","DET","RP",999,72,-5.16279768663863,-1.13236313618117,-1.1540310157208769,-0.23921564963673325,-5.91242268409531,-13.600830172272724,5.491447694743614,-7.10938247752911,"Tyler Holton","26231",663947
"Justin Slaten ","BOS","RP",999,61,-5.16279768663863,-1.41030681533995,-0.40444997712979164,-0.796870368928085,-5.91242268409531,-13.686847532131768,5.491447694743614,-7.195399837388154,"Justin Slaten","25648",686580
"Brayan Bello ","BOS","SP",421.4100036621094,150,-0.0473651201456261,-1.41030681533995,-6.675413313370888,-7.693606580353954,-1.33506318691577,-17.16175501612619,8.95993436825506,-7.201820647871129,"Brayan Bello","23920",678394
"Edgardo Henriquez ","LAD","RP",999,46,-6.18588419993723,-1.41030681533995,0.5352374658927583,-0.5201568180227834,-6.1269864105256,-13.70809677793281,5.491447694743614,-7.2166490831891945,"Edgardo Henriquez","26944",683618
"Janson Junk ","MIA","SP",999,91,-4.13971117334003,-1.41030681533995,-4.098132274411321,-2.1281613241020088,-5.4117739890913,-17.188085576284607,8.95993436825506,-7.228151208029544,"Janson Junk","23301",676083
"Andrew Painter ","PHI","SP",999,117,-2.09353814674283,-1.41030681533995,-5.7874007560249545,-4.958675569169223,-2.98005175621467,-17.229973043491622,8.95993436825506,-7.270038675236561,"Andrew Painter","30091",691725
"Kevin Kelly ","TBR","RP",999,48,-6.18588419993723,-1.41030681533995,0.44018426367702534,0.3590988024844165,-6.98524131624676,-13.782149265362502,5.491447694743614,-7.290701570618889,"Kevin Kelly","25679",687330
"Kirby Yates ","LAA","RP",269.42999267578125,48,-6.18588419993723,-0.298532098704842,-0.466969441941189,-0.6780530020000056,-6.19850765266903,-13.827946395252297,5.491447694743614,-7.336498700508683,"Kirby Yates","9073",489446
"Yoendrys Gómez ","MIN","SP/RP",999,58,-6.18588419993723,-1.41030681533995,-1.8493891586380673,-1.7268218730072278,-6.1269864105256,-17.299388457448075,8.95993436825506,-7.339454089193016,"Yoendrys Gomez","22872",672782
"Mark Leiter Jr. ","ATH","RP",727.989990234375,64,-5.16279768663863,0.257355259612712,-1.227395059667052,-2.200510424938896,-5.55481647337816,-13.888164385010024,5.491447694743614,-7.396716690266407,"Mark Leiter Jr.","15551",643410
"Calvin Faucher ","MIA","RP",999,64,-5.16279768663863,-0.0205884195460648,-0.7738182068579448,-2.4597983760600015,-5.55481647337816,-13.971819162480799,5.491447694743614,-7.480371467737186,"Calvin Faucher","20116",676534
